EXPERIMENT, index_type, index_parameters, index_id, run, key_bits, build_size_log, probe_size_log, batch_count, total_inserts_percentage_of_build_size, total_deletes_percentage_of_build_size, alternating_insert_delete, insert_before_delete, step, do_insert, do_delete, current_batch_size, before_update_size, after_update_size, DESCRIPTION, VALUE
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, insert_or_delete_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, probe_time_ms, 6.072319984436035
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, sort_time_ms, 6.617087841033936
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, probe_miss_time_ms, 6.210559844970703
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, successor_hits_probe_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, successor_misses_probe_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, index_layer_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, bucket_layer_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, rebuild_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, before_update_bytes, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, after_update_bytes, 570425816
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, insert_or_delete_time_ms, 5.711743831634521
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, probe_time_ms, 6.3406081199646
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, sort_time_ms, 6.614975929260254
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, probe_miss_time_ms, 6.288383960723877
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, successor_hits_probe_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, successor_misses_probe_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, index_layer_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, bucket_layer_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, rebuild_time_ms, 0
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, before_update_bytes, 570425816
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, after_update_bytes, 699256364
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 2, 1, 0, 13421772, 46976204, 60397976, insert_or_delete_time_ms, 6.334943771362305
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 2, 1, 0, 13421772, 46976204, 60397976, probe_time_ms, 6.561791896820068
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 2, 1, 0, 13421772, 46976204, 60397976, sort_time_ms, 6.631423950195312
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 2, 1, 0, 13421772, 46976204, 60397976, probe_miss_time_ms, 6.343679904937744
batches, cg_rtx_index_updates_5, node_size=32&tile size log=32&cache line=0&partition size=16&initial fill=50&div factor=8&num rounds=5&percentage_distribution_dense_keys=25&percentage_new_keys_from_dense_region=90, cg_rtx_index_updates_5__32_32_0_16_50_8_5_25_90, 0, 32, 25, 26, 5, 200, 200, 0, 1, 2, 1, 0, 13421772, 46976204, 60397976, successor_hits_probe_time_ms, 0
