EXPERIMENT, index_type, index_parameters, index_id, run, key_bits, build_size_log, probe_size_log, batch_count, total_inserts_percentage_of_build_size, total_deletes_percentage_of_build_size, alternating_insert_delete, insert_before_delete, step, do_insert, do_delete, current_batch_size, before_update_size, after_update_size, DESCRIPTION, VALUE
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, insert_or_delete_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, probe_time_ms, 59.0305290222168
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, sort_time_ms, 6.619135856628418
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, probe_miss_time_ms, 57.58054351806641
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, successor_hits_probe_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, successor_misses_probe_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, index_layer_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, bucket_layer_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, rebuild_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, before_update_bytes, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 0, 1, 0, 13421772, 33554432, 46976204, after_update_bytes, 306783872
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, insert_or_delete_time_ms, 154.4287414550781
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, probe_time_ms, 66.84774780273438
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, sort_time_ms, 6.622208118438721
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, probe_miss_time_ms, 65.39469146728516
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, successor_hits_probe_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, successor_misses_probe_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, index_layer_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, bucket_layer_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, rebuild_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 1, 1, 0, 13421772, 33554432, 46976204, before_update_bytes, 306783872
